#NAME	GSM442218	GSM442219	GSM442220	GSM442221
#CLASS	absent	absent	present	present
1566832_at	1.8	7.8	1.9	2.2
1566833_x_at	0.5	0.7	2.3	10.0
1566834_at	0.8	1.8	1.8	2.2
1566835_at	10.6	6.6	18.9	4.5
1566836_at	6.0	7.0	10.1	1.1
1566837_at	3.6	8.5	1.0	1.9
1566839_at	2.5	3.0	2.4	2.7
1566840_at	9.6	2.3	6.9	4.9
1566841_at	19.0	5.2	2.7	14.4
1566842_at	2.5	1.3	1.0	1.8
1566843_at	3.2	2.7	1.7	4.0
1566844_at	8.2	4.5	14.0	7.1
1566846_at	4.6	0.6	0.6	4.7
1566848_x_at	1.8	1.3	1.5	1.6
1566851_at	6.9	17.4	13.5	8.2
1566852_at	3.8	3.9	8.5	5.8
1566853_at	2.0	0.9	1.3	1.5
1566854_at	2.2	3.9	10.6	1.6
1566860_at	8.2	8.4	1.2	1.6
1566861_at	1.2	0.5	7.6	4.8
1566862_at	9.0	5.1	0.9	3.9
1566863_at	9.8	1.5	1.4	1.4
1566865_at	6.9	6.0	9.6	1.6
1566866_at	11.4	11.9	6.0	13.7
1566867_at	0.8	1.3	1.9	6.1
1566868_at	1.4	11.4	10.6	2.1
1566869_at	0.9	5.2	4.6	0.5
1566870_at	18.7	7.0	20.1	7.2
1566873_at	5.5	1.5	5.9	1.4
1566874_at	2.7	3.8	28.9	10.6
1566879_at	7.0	1.7	2.8	2.7
1566880_at	1.8	10.3	1.9	1.4
1566881_at	11.5	0.9	13.0	7.7
1566882_at	1.3	9.4	1.6	11.0
1566884_at	26.1	2.0	24.2	13.9
1566885_at	15.6	20.1	19.6	16.5
1566887_x_at	68.7	72.0	109.0	69.2
1566888_at	5.1	1.3	1.5	9.7
1566889_at	12.6	0.4	0.2	1.6
1566892_at	0.8	0.7	0.8	0.5
1566893_at	0.9	0.2	0.9	0.8
1566896_at	0.9	1.0	0.9	8.0
1566897_at	10.1	5.4	5.8	7.1
1566898_at	1.1	0.7	1.4	0.4
1566899_at	8.1	6.8	0.6	1.0
1566900_at	2.3	2.9	2.4	10.1
1566901_at	14.5	4.0	15.6	6.8
1566902_at	2.7	3.6	11.9	9.7
1566903_at	2.8	2.9	4.1	30.9
1566906_at	1.0	1.9	2.5	3.5
1566908_at	24.8	20.6	24.1	21.5
1566916_at	0.7	1.3	3.0	1.6
1566917_at	11.6	13.5	14.3	12.0
1566923_at	16.5	13.2	19.6	2.4
1566924_at	1.6	11.1	1.7	7.7
1566926_at	1.4	1.2	1.1	1.8
1566927_at	13.8	19.7	10.0	3.5
1566930_at	5.9	1.7	1.5	0.2
1566931_at	1.5	1.4	2.3	2.2
1566932_x_at	1.4	5.1	1.1	4.7
1566934_at	3.4	2.5	8.3	6.3
1566935_at	7.3	2.3	2.1	3.4
1566937_at	0.8	13.4	18.3	9.3
1566938_at	1.6	7.3	8.2	7.4
1566947_at	1.3	1.0	4.7	0.5
1566948_at	8.7	1.1	2.4	0.6
1566949_at	22.7	18.8	19.8	8.5
1566950_at	3.7	1.8	0.9	1.7
1566951_at	4.7	18.3	11.4	6.9
1566952_at	0.6	5.9	9.5	6.7
1566953_x_at	3.5	4.6	5.7	3.1
1566954_at	31.8	17.4	31.8	23.1
1566955_at	29.3	24.5	20.0	20.9
1566956_at	68.2	78.4	106.1	98.4
1566957_at	15.7	7.2	6.0	6.4
1566958_at	17.9	18.5	18.2	16.2
1566959_at	18.4	6.0	22.8	42.0
1566963_at	0.7	2.0	5.0	8.3
1566964_at	11.2	2.0	8.2	13.7
1566965_at	12.3	2.2	3.2	1.5
1566966_at	5.2	6.6	1.5	0.9
1566967_at	14.2	2.7	10.4	3.1
1566968_at	1.5	1.9	2.1	1.6
1566969_at	3.4	0.4	2.5	0.4
1566970_at	5.9	6.6	4.1	0.8
1566973_at	8.4	14.7	17.6	14.6
1566974_at	18.9	4.5	20.8	14.4
1566978_at	3.2	3.9	14.4	0.3
1566979_at	9.1	5.1	1.5	6.7
1566980_at	9.8	2.9	3.0	3.2
1566981_at	16.1	12.6	2.3	11.0
1566984_at	7.0	2.1	14.0	11.5
1566986_at	7.1	1.6	0.8	2.1
1566987_s_at	28.1	25.0	35.7	19.8
1566989_at	87.8	60.1	94.9	73.4
1566990_x_at	73.5	63.6	89.9	95.1
1566991_at	1.1	1.2	8.4	2.5
1566994_at	5.6	23.5	43.7	31.5
1566995_at	5.9	1.2	7.3	6.5
1566999_at	15.3	2.5	9.1	15.4
1567000_at	4.9	6.4	1.2	6.8
1567008_at	0.4	6.9	4.3	5.4
1567009_at	5.9	5.4	0.7	0.6
1567010_at	1.2	0.8	8.4	2.7
1567011_at	9.0	1.5	7.9	7.0
1567013_at	53.5	36.4	41.4	78.5
1567014_s_at	112.7	84.4	118.9	137.9
1567015_at	2.7	2.7	9.3	1.1
1567022_at	14.3	0.9	5.2	6.9
1567023_at	2.9	17.5	6.5	4.9
1567027_at	1.6	4.9	1.7	11.3
1567028_s_at	7.0	14.0	11.9	8.5
1567030_at	2.5	1.1	4.6	1.8
1567031_at	10.5	6.8	12.8	3.9
1567032_s_at	73.6	84.7	55.8	58.8
1567035_at	14.1	26.4	18.1	9.7
1567036_at	14.4	6.7	11.3	3.4
1567044_s_at	14.4	8.8	18.4	17.1
1567045_at	12.7	6.7	8.1	12.6
1567054_at	3.0	10.0	4.5	8.1
1567055_at	0.8	1.3	0.9	7.2
1567056_at	2.0	1.7	3.7	0.6
1567058_at	1.1	2.8	1.3	8.0
1567059_at	2.1	3.2	2.1	3.0
1567060_at	3.8	2.6	8.3	1.3
1567064_at	0.7	0.5	0.7	3.6
1567065_at	11.5	14.3	22.5	24.9
1567068_at	1.2	1.4	1.6	3.6
1567069_at	0.8	13.6	19.0	5.4
1567076_at	7.7	1.0	9.8	6.5
1567078_x_at	1.8	5.5	2.0	1.7
1567079_at	60.5	40.3	55.3	29.9
1567080_s_at	190.7	171.0	95.5	105.3
1567081_x_at	97.2	76.9	66.7	40.4
1567100_at	2.1	3.1	1.6	1.9
1567101_at	6.7	4.9	14.5	3.7
1567105_at	1.9	5.9	12.5	9.6
1567107_s_at	800.4	859.6	1124.3	1132.3
1567139_at	9.8	7.9	12.9	5.9
1567140_at	1.4	6.2	10.3	5.4
1567166_at	18.8	12.2	14.6	14.9
1567167_at	15.5	9.4	1.2	19.0
1567173_at	2.8	3.8	6.3	1.5
1567174_at	8.1	8.7	0.9	8.6
1567179_at	3.5	0.3	4.4	4.7
1567181_x_at	0.7	1.0	4.2	13.1
1567182_at	0.5	0.1	4.1	0.3
1567183_s_at	2.3	8.5	1.3	1.4
1567213_at	30.2	34.8	30.0	46.9
1567214_a_at	405.6	420.4	327.0	417.8
1567219_at	42.4	31.7	24.4	20.0
1567222_x_at	18.4	3.2	16.1	32.1
1567223_at	2.3	8.7	10.4	3.6
1567224_at	8.9	1.1	0.6	5.1
1567237_at	4.5	16.7	12.5	6.7
1567238_at	6.5	3.9	0.8	0.5
1567240_x_at	9.7	12.5	2.0	2.0
1567241_at	1.7	1.5	2.1	11.7
1567242_at	8.8	9.7	11.6	0.6
1567244_at	4.2	1.2	10.9	9.0
1567245_at	0.6	3.2	0.5	5.7
1567246_at	0.6	1.7	0.2	0.3
1567247_at	3.7	2.2	0.9	5.6
1567248_at	1.5	1.0	8.3	10.4
1567249_at	6.1	1.7	0.5	0.7
1567250_at	4.4	5.9	0.9	2.2
1567251_at	0.7	1.0	5.0	1.0
1567252_at	0.9	6.6	6.3	6.9
1567253_at	5.5	6.6	10.3	2.0
1567254_at	13.7	4.5	1.0	0.7
1567255_at	1.6	2.0	1.5	1.8
1567256_at	12.5	9.2	2.7	7.1
1567257_at	2.9	12.7	2.7	3.9
1567270_at	7.2	6.7	3.8	2.3
1567271_at	2.2	7.1	1.7	9.4
1567272_at	1.2	0.5	1.7	11.8
1567273_at	1.7	1.4	12.1	6.9
1567274_at	1.1	17.9	10.9	19.8
1567277_at	8.0	1.5	2.4	1.4
1567280_at	2.6	1.5	9.3	0.5
1567281_at	1.4	1.2	6.1	6.3
1567282_at	15.6	5.8	2.2	4.8
1567284_at	1.4	0.6	5.6	5.9
1567285_at	9.5	7.0	12.9	24.1
1567286_at	10.6	14.6	20.9	11.5
1567287_at	9.4	11.8	1.3	4.5
1567288_at	9.8	0.6	6.4	2.6
1567297_at	4.0	3.3	10.5	10.8
1567298_at	14.4	22.9	19.7	19.6
1567303_at	2.1	3.2	6.1	0.5
1567304_at	0.5	8.3	11.6	1.3
1567319_at	30.1	26.2	18.0	21.8
1567320_at	2.4	11.1	15.8	21.0
1567333_at	7.5	2.8	4.9	5.8
1567334_at	8.3	2.3	17.8	4.7
1567341_at	7.9	10.0	10.9	20.1
1567357_at	1.3	3.8	1.2	6.2
1567358_at	1.5	3.2	8.7	4.5
1567359_at	0.7	0.6	9.0	5.4
1567361_at	6.6	0.7	3.5	8.3
1567374_at	0.7	4.8	0.6	2.9
1567375_at	27.1	10.3	22.3	7.9
1567376_at	9.8	0.4	9.6	10.8
1567377_at	2.1	7.0	3.8	3.0
1567378_x_at	13.1	11.3	8.9	1.6
1567379_at	0.7	2.7	0.6	9.6
1567380_at	2.9	5.7	0.9	0.8
1567386_at	0.2	0.2	0.7	2.3
1567387_at	0.2	1.1	0.3	5.6
1567389_at	3.2	1.0	2.0	1.4
1567390_at	11.8	9.7	15.5	9.7
1567410_at	5.0	4.4	12.5	7.8
1567440_at	11.8	10.2	17.9	9.5
1567443_x_at	1.0	10.8	2.9	19.6
1567457_at	8.4	12.9	22.1	18.2
1567458_s_at	583.6	600.7	615.2	623.2
1567519_at	2.7	9.0	17.3	13.2
1567527_at	5.4	4.9	9.2	6.6
1567539_at	10.6	19.6	28.0	8.5
1567540_at	9.2	3.7	4.6	6.4
1567558_at	2.0	2.0	2.1	1.5
1567559_s_at	6.5	1.6	14.8	6.9
1567575_at	5.9	7.3	1.5	3.8
1567576_at	1.4	4.1	6.3	1.9
1567590_at	1.9	3.4	0.9	2.0
1567591_at	2.2	0.9	3.1	2.6
1567611_at	3.7	2.0	2.3	1.2
1567612_at	5.1	9.7	4.3	5.1
1567622_at	32.2	20.0	17.0	23.3
1567623_at	13.3	15.9	12.6	11.4
1567624_at	4.2	11.5	2.7	7.4
1567627_at	6.3	19.6	3.7	3.5
1567628_at	423.3	431.1	2265.7	2469.4
1567656_at	2.1	0.3	0.9	0.3
1567657_at	1.0	0.3	0.3	1.4
1567663_at	3.2	0.7	0.6	1.5
1567664_at	0.3	4.1	8.9	0.8
1567679_at	0.6	6.4	1.4	0.4
1567681_at	0.6	1.3	0.8	0.8
1567682_x_at	1.8	4.4	1.0	12.4
1567686_at	6.4	8.4	4.3	2.3
1567687_at	10.2	3.5	1.2	15.6
1567696_at	0.4	6.2	1.5	0.7
1567697_at	2.8	3.0	3.9	7.4
1567698_x_at	0.9	0.4	0.8	0.3
1567702_at	0.3	1.4	1.9	0.9
1567703_at	5.4	2.6	3.5	0.8
1567704_at	0.9	26.7	18.1	12.2
1567705_at	0.8	0.9	0.7	0.8
1567706_at	0.3	1.0	2.3	9.2
1567853_at	8.7	10.3	3.1	9.2
1567855_at	2.7	2.7	1.0	3.6
1567856_x_at	2.0	1.9	3.1	1.6
1567859_at	11.4	6.2	0.7	2.7
1567860_at	0.4	8.3	5.7	0.5
1567861_at	8.4	0.2	0.2	6.3
1567862_at	6.4	0.6	9.1	0.3
1567878_at	1.0	0.6	0.5	4.2
1567906_at	5.6	18.2	17.2	6.1
1567912_s_at	0.6	0.9	2.4	2.0
1567913_at	26.2	41.5	18.3	36.5
1567985_at	3.6	4.4	5.0	15.1
1567986_at	6.7	1.6	1.0	0.7
1567997_x_at	8.2	6.0	12.4	6.3
1568012_at	6.2	7.0	1.0	4.6
1568126_at	9.7	6.2	9.6	10.8
1568190_at	0.3	5.2	5.9	0.5
1568191_at	5.4	24.5	39.7	16.1
1568248_x_at	1.6	2.1	2.5	5.3
1568249_at	2.9	2.7	2.6	9.0
1568286_at	0.6	6.6	2.7	4.8
1568287_at	0.4	5.0	0.4	2.6
1568365_at	6.1	8.8	5.7	3.1
1568366_at	4.5	0.8	5.5	7.4
1568375_at	2.4	1.8	3.3	0.4
1568377_x_at	16.5	10.5	13.4	8.8
1568406_at	2.8	3.3	0.5	3.4
1568408_x_at	24.4	23.9	42.9	32.3
1568448_at	16.0	14.3	21.9	7.5
1568449_at	0.9	1.9	7.7	7.7
1568487_x_at	0.4	1.0	0.5	0.6
1568488_at	2.7	0.4	1.9	1.5
1568513_x_at	15.7	9.9	15.8	14.7
1568554_x_at	14.7	17.7	7.5	11.4
1568558_x_at	2.9	11.3	3.2	4.5
1568574_x_at	0.4	5.3	3.3	5.8
1568589_at	6.9	8.8	18.9	13.8
1568590_at	36.1	22.3	27.1	7.9
1568592_at	450.4	479.4	455.8	519.4
1568593_a_at	9.1	1.7	1.8	6.5
1568594_s_at	84.7	106.6	38.6	51.4
1568596_a_at	186.3	207.7	146.8	171.6
1568597_at	14.4	13.5	16.7	15.1
1568598_at	2.4	1.3	1.7	4.1
1568600_at	23.3	26.2	19.4	26.4
1568601_at	5.7	14.5	10.7	1.4
1568603_at	3.7	1.7	0.6	0.1
1568604_a_at	2.4	0.8	7.8	6.4
1568605_at	45.3	40.7	22.3	59.7
1568606_at	11.7	8.6	17.3	2.8
1568609_s_at	437.3	408.3	78.4	75.7
1568611_at	36.5	42.9	60.7	54.8
1568612_at	1.9	0.5	1.0	4.7
1568613_at	58.9	62.5	101.5	22.1
1568615_a_at	1.4	2.5	5.0	7.0
1568616_a_at	9.6	2.4	8.4	2.9
1568617_a_at	9.5	15.2	3.7	24.8
1568618_a_at	513.3	445.6	458.9	640.4
1568619_s_at	72.3	64.0	152.8	191.6
1568620_at	6.0	5.9	10.8	6.8
1568623_a_at	18.3	20.9	11.2	33.0
1568625_at	2.9	1.9	15.9	4.9
1568627_at	19.3	19.3	21.8	17.7
1568629_s_at	136.9	131.6	129.4	141.1
1568633_a_at	9.7	6.9	14.9	7.8
1568634_a_at	11.8	15.4	16.5	14.2
1568635_at	9.0	0.9	5.1	6.9
1568636_a_at	1.3	2.4	17.9	2.0
1568638_a_at	7.8	1.4	13.6	6.5
1568639_a_at	6.6	3.5	24.5	2.9
1568640_at	22.2	27.7	45.2	39.5
1568643_a_at	6.8	18.2	2.8	2.1
1568644_at	0.8	3.3	3.4	1.0
1568646_x_at	2.6	5.8	8.1	3.5
1568647_at	7.2	3.1	7.3	0.5
1568648_a_at	6.3	1.1	4.8	3.2
1568649_at	2.4	4.1	8.9	3.1
1568650_a_at	3.1	10.6	10.9	7.9
1568655_a_at	2.1	2.1	7.6	1.3
1568656_at	15.4	9.1	19.6	13.4
1568658_at	128.1	152.7	124.2	117.4
1568660_a_at	7.0	1.0	10.1	3.1
1568661_at	11.9	9.9	4.1	5.0
1568662_at	0.5	0.6	1.1	13.0
1568663_a_at	13.8	13.0	18.2	7.6
1568665_at	2.3	24.3	16.9	23.9
1568666_at	3.9	3.2	2.6	4.7
1568667_s_at	35.7	24.1	42.5	31.3
1568672_at	5.6	0.8	9.6	4.3
1568673_s_at	1.5	0.5	1.2	0.9
1568675_at	3.5	2.8	11.6	12.2
1568678_s_at	175.5	176.2	209.7	218.7
1568680_s_at	16.9	37.5	26.3	26.8
1568682_a_at	10.0	7.5	13.0	22.5
1568683_at	2.1	8.2	14.6	4.3
1568685_at	12.7	7.8	2.8	3.4
1568686_at	0.8	0.6	4.8	1.3
1568687_s_at	4.4	1.0	0.6	0.4
1568689_at	0.5	1.4	1.4	13.9
1568690_a_at	3.7	3.0	2.1	5.0
1568691_at	22.6	16.9	3.9	17.4
1568695_s_at	12.5	17.8	7.6	19.2
1568696_at	5.9	4.3	1.0	0.3
1568698_at	5.4	6.0	0.8	7.8
1568699_at	29.0	15.2	30.2	23.6
1568702_a_at	5.3	9.6	19.2	19.4
1568704_a_at	55.3	46.6	77.2	58.6
1568706_s_at	13.6	2.7	15.8	3.1
1568711_a_at	0.7	0.2	0.4	0.2
1568713_a_at	63.1	75.5	12.5	9.3
1568717_a_at	5.4	3.0	11.1	10.6
1568718_at	6.4	7.8	7.9	5.4
1568719_s_at	1.8	3.4	5.5	3.3
1568720_at	14.4	14.8	11.4	14.9
1568722_at	1.1	6.6	0.7	1.7
1568723_at	0.6	7.0	18.6	7.3
1568728_s_at	8.5	3.6	4.0	4.5
1568730_at	17.3	3.6	8.2	7.6
1568732_at	4.4	0.6	0.7	3.2
1568733_at	33.4	33.2	27.4	43.0
1568734_a_at	4.1	8.2	15.9	7.7
1568735_at	0.9	0.3	11.4	0.7
1568736_s_at	0.3	6.4	2.2	0.6
1568739_at	8.2	11.4	1.6	3.4
1568742_at	8.3	9.0	29.6	22.5
1568743_at	1.6	1.4	4.7	3.6
1568745_at	1.4	12.3	10.8	8.3
1568746_a_at	0.6	7.2	4.2	2.9
1568748_at	11.0	28.5	20.2	18.9
1568749_at	7.9	0.5	4.6	1.4
1568751_at	4.8	3.9	0.3	3.9
1568752_s_at	1.1	0.6	0.1	4.3
1568754_at	6.4	6.0	6.2	1.2
1568755_a_at	6.2	4.7	5.7	3.8
1568760_at	3.4	15.0	13.7	3.9
1568762_at	0.8	8.3	2.0	2.8
1568763_s_at	131.3	127.6	202.9	263.7
1568764_x_at	1.4	1.9	16.4	33.5
1568765_at	1.0	2.2	12.2	14.0
1568768_s_at	10.9	5.8	13.9	4.7
1568770_at	9.6	12.7	1.7	9.1
1568777_at	10.3	6.3	11.2	14.5
1568779_a_at	9.5	1.3	2.6	6.5
1568780_at	22.6	12.1	6.6	1.3
1568781_at	83.0	88.5	178.6	151.1
1568782_at	19.5	1.1	10.2	1.4
1568783_at	1.0	0.9	13.3	8.4
1568784_at	6.3	2.3	0.4	5.9
1568785_a_at	0.7	6.1	5.9	6.4
1568787_at	3.4	10.2	8.9	11.1
1568789_at	6.4	13.2	10.5	8.9
1568791_s_at	3.5	8.5	2.5	13.4
1568794_at	7.8	10.3	10.1	6.3
1568795_at	30.1	56.2	59.0	67.3
1568796_at	7.1	13.2	23.1	14.0
1568799_at	34.5	12.3	44.1	34.8
1568801_at	1.0	1.1	5.8	5.8
1568802_at	12.8	19.3	12.0	21.3
1568803_at	9.9	1.8	10.4	2.8
1568804_at	20.9	1.2	5.4	10.7
1568805_at	9.0	9.1	0.8	8.9
1568807_a_at	13.5	19.5	17.6	18.6
1568812_at	1.9	7.4	5.8	8.1
1568813_at	13.2	24.9	48.1	86.4
1568814_at	36.4	25.8	24.9	17.9
1568815_a_at	31.8	39.3	33.0	36.9
1568817_at	11.8	16.7	8.9	11.3
1568820_a_at	0.5	0.7	11.6	1.6
1568821_at	2.2	0.9	1.3	1.3
1568822_at	1.9	2.3	8.5	18.6
1568826_at	3.0	8.9	8.6	1.0
1568827_at	3.8	1.0	14.2	2.2
1568828_at	0.8	1.1	7.2	1.2
1568830_at	11.6	12.3	11.5	9.7
1568832_a_at	8.7	11.1	8.7	8.3
1568834_s_at	20.7	22.9	38.3	28.0
1568836_at	5.4	3.4	18.2	18.5
1568838_at	17.0	9.1	18.9	20.5
1568840_at	3.4	0.5	3.1	6.5
1568843_at	4.4	3.9	13.7	12.7
1568844_at	2.5	3.5	0.6	1.7
1568845_at	17.9	8.8	14.9	21.4
1568846_at	13.8	5.2	11.5	0.7
1568847_at	17.4	17.4	24.8	11.4
1568848_at	4.2	1.6	2.4	0.4
1568849_at	3.9	10.3	19.1	7.7
1568850_at	11.2	9.5	4.4	9.8
1568851_at	1.0	0.8	3.1	4.2
1568852_x_at	0.9	5.6	0.5	8.1
1568853_at	31.7	34.4	65.2	40.1
1568854_at	1.1	0.6	0.6	1.2
1568856_at	16.6	7.8	10.8	12.2
1568857_a_at	25.3	13.1	13.4	16.6
1568858_at	9.6	3.7	5.1	6.7
1568859_a_at	2.1	2.2	2.4	3.0
1568864_at	6.5	0.7	8.3	4.4
1568865_at	11.8	14.8	19.8	38.1
1568866_at	14.7	1.0	2.9	4.2
1568867_x_at	0.2	0.2	8.2	5.2
1568868_at	7.7	1.4	0.3	2.6
1568869_at	1.4	16.1	4.0	2.7
1568870_at	2.3	0.9	1.6	2.5
1568871_at	1.5	3.8	0.4	1.3
1568872_at	3.6	5.2	6.7	3.4
1568873_at	7.7	10.4	5.0	12.2
1568874_at	5.3	17.3	9.7	7.3
1568876_a_at	12.1	14.8	12.4	16.0
1568877_a_at	53.0	64.3	85.8	77.2
1568878_at	0.5	0.5	0.7	0.6
1568879_a_at	4.2	1.9	5.3	2.7
1568882_at	6.9	8.4	2.4	2.5
1568883_at	1.8	4.1	1.4	5.4
1568884_at	1.1	5.9	4.1	4.6
1568887_at	7.1	17.0	14.3	13.0
1568888_at	1.7	0.3	0.2	1.2
1568889_at	8.8	14.1	15.9	4.4
1568891_x_at	0.7	4.5	8.6	21.6
1568892_at	7.3	10.4	13.2	25.1
1568894_at	2.9	2.0	20.8	13.9
1568896_at	2.1	8.6	5.1	2.1
1568897_at	6.0	1.1	0.4	0.3
1568898_at	0.6	1.3	4.2	4.0
1568899_at	0.7	7.2	5.0	7.6
1568900_a_at	27.5	22.7	4.2	11.2
1568902_at	4.1	1.0	3.6	0.7
1568903_at	4.6	1.0	6.1	6.0
1568904_at	13.5	1.4	10.9	0.9
1568905_at	7.3	2.9	1.6	6.3
1568906_at	7.6	5.5	1.7	7.9
1568907_at	3.4	10.3	19.0	2.8
1568908_at	7.8	6.1	13.3	3.6
1568913_at	9.1	8.5	5.4	7.3
1568914_at	0.7	2.6	18.4	2.9
1568915_at	15.2	20.5	13.7	16.1
1568916_at	3.8	2.3	6.2	9.1
1568919_at	2.4	3.6	0.9	3.3
1568920_at	5.0	5.3	3.1	12.0
1568921_at	2.0	1.7	1.4	2.4
1568922_at	16.6	23.6	1.4	9.7
1568923_at	13.6	17.2	14.3	12.8
1568924_a_at	13.6	2.0	1.9	1.0
1568925_at	0.2	1.3	3.8	1.0
1568926_x_at	6.5	0.3	5.8	0.5
1568929_at	10.0	5.3	8.0	6.8
1568930_at	11.3	5.0	4.9	7.6
1568931_at	8.3	11.9	18.0	10.7
1568932_at	3.6	0.7	0.5	0.5
1568933_at	0.7	1.4	1.4	3.9
1568934_at	1.3	0.8	4.5	14.0
1568935_at	0.9	3.1	0.2	0.9
1568936_a_at	2.9	0.4	8.7	0.5
1568938_at	10.2	16.1	5.3	11.7
1568939_at	0.6	15.3	0.5	9.5
1568941_a_at	8.6	7.4	3.8	4.7
1568943_at	24.8	28.3	23.3	12.4
1568949_at	165.5	145.3	85.0	59.3
1568951_at	28.4	22.9	8.6	17.1
1568954_s_at	304.2	326.4	347.8	339.7
1568955_at	87.6	78.4	84.3	76.9
1568957_x_at	49.4	49.6	50.8	53.2
1568964_x_at	298.5	359.5	147.6	163.8
1568970_at	1.2	9.6	1.6	1.6
1568971_at	9.4	18.9	25.4	33.8
1568974_at	15.2	14.5	14.6	15.8
1568977_at	9.2	11.3	13.0	11.9
1568978_s_at	43.3	35.7	15.7	4.2
1568981_at	26.7	15.4	19.7	23.0
1568983_a_at	59.0	56.4	142.6	166.5
1568986_x_at	36.9	18.2	51.6	40.1
1568987_at	39.7	45.5	51.5	44.7
1568997_at	14.4	18.0	17.8	15.1
1568999_at	7.9	10.2	5.6	19.8
1569001_at	13.2	14.6	15.4	2.2
1569002_x_at	2.7	1.9	4.1	2.6
1569003_at	345.5	403.2	824.8	894.7
1569004_at	19.5	16.6	18.5	18.2
1569005_at	12.8	20.9	15.3	5.0
1569006_at	20.2	6.5	20.5	23.5
1569008_at	10.9	1.8	5.1	10.9
1569009_s_at	0.8	0.9	1.8	1.4
1569013_s_at	27.4	28.2	60.4	50.1
1569020_at	16.8	22.6	29.8	14.5
1569021_at	0.6	1.4	0.2	0.8
1569022_a_at	19.8	34.0	33.3	27.7
1569023_a_at	0.5	5.1	1.2	1.5
1569024_at	7.8	10.0	7.2	6.4
1569025_s_at	5.6	0.3	6.7	7.6
1569029_at	1.4	3.0	13.7	4.3
1569030_s_at	149.7	182.3	144.9	132.3
1569032_at	4.9	2.5	2.9	11.1
1569033_at	12.9	20.5	16.4	13.9
1569034_a_at	2.1	1.1	1.2	3.1
1569039_s_at	14.9	14.1	1.4	0.6
1569040_s_at	0.7	1.6	0.5	6.6
1569041_at	7.3	10.4	7.4	6.6
1569042_at	1.7	1.5	0.7	1.0
1569044_at	7.5	4.0	10.7	6.5
1569048_s_at	5.5	14.1	12.2	7.4
1569052_at	15.4	17.9	2.0	0.4
1569053_at	62.4	71.5	90.9	102.2
1569054_at	0.7	1.0	0.9	0.8
1569057_s_at	142.2	130.7	118.5	117.4
1569058_at	21.2	4.3	20.9	8.6
1569061_at	2.8	4.0	10.0	9.4
1569062_s_at	0.9	1.0	1.0	1.0
1569063_at	2.6	15.1	1.7	6.0
1569064_at	6.1	5.3	7.7	0.8
1569065_s_at	14.0	23.1	2.2	14.2
1569067_at	17.8	11.6	24.2	43.9
1569069_s_at	125.7	87.4	129.0	134.4
1569072_s_at	6.5	0.5	0.5	5.6
1569073_x_at	36.7	22.9	22.8	23.7
1569074_at	8.7	1.8	3.3	1.4
1569076_a_at	17.8	12.0	22.4	31.6
1569077_x_at	33.5	35.9	43.8	40.1
1569078_at	7.9	0.8	1.1	9.3
1569080_at	7.7	0.7	6.9	3.1
1569086_at	43.7	31.2	44.6	49.4
1569089_a_at	28.4	17.4	16.4	20.7
1569090_x_at	31.7	14.1	29.4	37.1
1569091_at	26.4	18.6	35.4	33.9
1569095_at	27.9	8.1	27.3	3.6
1569097_at	1.0	0.7	3.6	1.9
1569098_s_at	22.3	17.1	49.7	34.3
1569099_at	1.0	0.8	4.2	2.0
1569100_a_at	0.3	0.3	1.5	2.2
1569102_at	10.4	1.1	1.4	1.0
1569104_a_at	5.3	10.8	7.0	5.2
1569105_at	75.6	133.0	203.0	126.6
1569106_s_at	190.1	181.6	278.8	271.7
1569107_s_at	27.8	20.3	11.8	19.2
1569108_a_at	18.1	18.2	10.1	18.7
1569110_x_at	22.6	10.5	252.1	303.3
1569111_at	5.3	1.1	12.5	13.0
1569112_at	3.9	7.6	4.5	2.9
1569114_at	5.8	15.1	23.9	23.2
1569121_at	1.5	6.7	20.0	10.7
1569122_at	10.9	7.5	4.5	0.9
1569124_at	1.2	2.9	4.1	5.2
1569126_at	4.6	8.1	1.5	11.8
1569127_at	3.2	13.4	52.0	37.5
1569128_at	8.1	10.3	11.9	8.4
1569129_s_at	52.8	65.1	68.2	59.8
1569132_s_at	36.8	41.8	21.6	19.5
1569133_x_at	13.4	16.0	16.5	3.3
1569136_at	48.1	73.4	1.9	6.2
1569138_a_at	29.0	21.6	27.1	20.1
1569139_s_at	3.4	10.1	2.5	0.9
1569140_at	4.9	2.2	4.3	8.1
1569141_a_at	22.5	1.3	1.4	1.4
1569142_at	23.7	29.8	15.2	21.4
1569144_a_at	10.1	31.0	90.9	75.7
1569146_s_at	5.5	6.2	11.9	7.2
1569147_at	15.3	12.7	7.6	8.4
1569149_at	13.5	26.4	18.4	15.2
1569150_x_at	28.2	39.7	21.8	22.2
1569153_at	4.2	15.1	2.7	3.4
1569154_a_at	23.7	12.6	23.8	4.1
1569156_at	10.3	18.7	11.0	16.6
1569157_s_at	45.6	30.2	44.5	50.9
1569159_at	8.4	7.8	14.3	13.0
1569167_at	12.2	20.6	35.6	19.0
1569168_at	8.7	1.2	0.7	0.8
1569171_a_at	2.0	1.3	9.2	10.1
1569172_a_at	10.7	17.1	7.5	18.4
1569176_at	9.8	1.7	1.3	7.3
1569178_at	4.5	4.9	2.5	0.2
1569180_at	9.9	18.7	13.6	18.4
1569181_x_at	13.9	19.6	26.1	12.8
1569182_at	1.6	1.9	1.5	1.3
