#NAME	GSM442218	GSM442219	GSM442220	GSM442221
#CLASS	absent	absent	present	present
1552453_a_at	0.7	1.8	0.8	0.5
1552455_at	13.0	1.6	1.9	2.3
1552456_a_at	2.2	1.3	6.1	5.4
1552457_a_at	2.7	1.0	3.2	1.1
1552458_at	7.2	7.8	8.0	2.0
1552459_a_at	6.0	0.7	20.5	2.0
1552461_at	1.5	6.5	6.0	9.5
1552463_at	8.9	5.7	3.5	5.2
1552466_x_at	0.6	0.7	0.7	0.4
1552467_at	9.7	14.7	17.8	2.5
1552468_a_at	16.6	10.6	5.5	16.4
1552470_a_at	12.4	14.6	1.9	2.4
1552472_a_at	99.6	121.0	113.3	99.9
1552473_at	40.3	54.6	93.6	105.2
1552474_a_at	127.8	65.6	183.2	184.4
1552476_s_at	14.7	17.4	12.4	16.1
1552477_a_at	15.9	8.8	19.6	16.1
1552478_a_at	1.1	2.0	6.8	7.1
1552480_s_at	12.7	6.7	3.6	7.7
1552481_s_at	10.7	26.3	15.3	13.0
1552482_at	5.7	1.2	3.3	6.2
1552484_at	5.4	5.3	5.4	6.6
1552485_at	39.1	56.2	78.6	84.9
1552486_s_at	108.3	114.1	178.5	175.0
1552487_a_at	8.6	0.5	0.6	5.3
1552489_s_at	1.2	1.2	6.4	4.0
1552490_at	18.0	16.3	11.3	12.4
1552491_at	6.5	1.6	17.1	2.8
1552493_s_at	2.9	1.3	2.1	1.5
1552494_at	11.7	14.9	8.9	10.8
1552496_a_at	1.9	0.5	1.5	1.1
1552497_a_at	300.2	274.2	180.0	189.4
1552498_at	3.8	8.3	14.5	13.7
1552499_a_at	9.4	11.2	12.4	14.0
1552501_a_at	8.1	7.8	7.4	5.7
1552502_s_at	0.5	6.0	5.3	6.7
1552503_at	5.8	12.2	1.8	16.8
1552504_a_at	25.1	20.0	34.4	35.8
1552506_at	7.5	2.5	10.5	9.2
1552507_at	0.9	10.7	3.2	1.7
1552508_at	11.2	1.8	3.3	3.2
1552509_a_at	3.4	9.2	11.8	1.5
1552510_at	28.0	45.9	75.0	88.8
1552511_a_at	1.0	7.5	1.6	1.3
1552514_at	6.9	5.5	11.0	5.3
1552515_at	2.9	0.5	14.0	4.7
1552516_a_at	62.8	45.6	60.1	80.2
1552518_s_at	37.0	24.1	18.2	18.3
1552519_at	80.3	65.8	27.0	28.3
1552520_at	8.9	7.3	17.3	11.8
1552521_a_at	0.2	0.7	14.2	18.0
1552522_at	4.2	7.8	8.7	1.1
1552523_a_at	1.6	12.3	16.6	12.8
1552524_at	4.5	2.6	3.8	2.7
1552526_at	0.9	1.0	0.7	0.9
1552528_at	3.7	2.9	3.6	5.3
1552531_a_at	2.6	3.7	0.6	5.1
1552532_a_at	4.2	1.8	12.5	1.5
1552535_at	1.4	12.7	4.6	7.7
1552536_at	10.5	10.0	11.7	10.3
1552538_a_at	1.6	0.8	1.2	1.7
1552540_s_at	17.0	20.4	22.1	6.3
1552541_at	76.7	96.4	19.2	36.4
1552542_s_at	60.5	66.1	13.3	11.5
1552543_a_at	2.1	2.8	8.0	7.9
1552544_at	12.3	13.1	20.3	8.4
1552546_a_at	35.5	22.6	24.2	16.2
1552548_at	10.8	13.5	15.1	1.5
1552549_a_at	1.9	4.3	4.1	6.6
1552552_s_at	5.0	2.1	8.4	12.4
1552553_a_at	1.3	5.4	2.4	5.1
1552554_a_at	11.0	7.3	4.3	1.8
1552555_at	10.5	1.7	14.5	12.5
1552557_a_at	18.8	8.1	7.0	8.7
1552558_a_at	43.8	23.0	52.2	36.0
1552559_a_at	3.2	3.2	2.4	2.7
1552562_at	20.7	22.8	20.0	20.0
1552563_a_at	0.7	4.1	0.8	1.1
1552564_at	5.3	13.5	2.6	3.2
1552566_at	0.7	1.3	0.7	1.2
1552568_at	10.7	14.1	11.9	2.5
